EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
1,0,0.0,0.0,0.0,5,0.0,0.0,1,0.018,24,0,2015,2
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7200.0,27,-487,1998,3
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,16200.0,6,-497,1998,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,48600.0,14,-505,1998,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,91800.0,21,-512,1998,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,142200.0,27,-518,1998,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,173880.0,4,-525,1998,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,252360.0,20,-541,1998,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,315360.0,26,-547,1998,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,364320.0,2,-554,1998,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,421560.0,10,-562,1998,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,478440.0,15,-567,1998,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,770040.0,25,-32,1998,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,821160.0,31,-38,1998,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,878760.0,7,-45,1998,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,935640.0,14,-3,1998,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,990360.0,21,-10,1998,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1033200.0,28,-17,1998,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1217160.0,19,-38,1998,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1276560.0,26,-45,1998,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1337760.0,2,-52,1998,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1503720.0,23,-73,1998,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1512360.0,30,-80,1998,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1575360.0,23,-254,1999,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1659600.0,31,-262,1999,5
